CustomerID,CustomerName,City,Channel,CustomerSegment
CUST-001,Toko Sejahtera 1,Depok,Traditional Trade,Wholesaler
CUST-002,Toko Sejahtera 2,Ciamis,E-commerce,Retail
CUST-003,Toko Sejahtera 3,Purwakarta,E-commerce,Wholesaler
CUST-004,Toko Sejahtera 4,Cirebon,Modern Trade,Retail
CUST-005,Toko Sejahtera 5,Cimahi,Traditional Trade,Retail
CUST-006,Toko Sejahtera 6,Pangandaran,Traditional Trade,Retail
CUST-007,Toko Sejahtera 7,Depok,Modern Trade,Wholesaler
CUST-008,Toko Sejahtera 8,Tasikmalaya Kab.,Modern Trade,Retail
CUST-009,Toko Sejahtera 9,Garut,Traditional Trade,Retail
CUST-010,Toko Sejahtera 10,Kuningan,E-commerce,Retail
CUST-011,Toko Sejahtera 11,Cirebon,Traditional Trade,Retail
CUST-012,Toko Sejahtera 12,Cirebon,Traditional Trade,Online
CUST-013,Toko Sejahtera 13,Cianjur,Distributor,Wholesaler
CUST-014,Toko Sejahtera 14,Pangandaran,Traditional Trade,Retail
CUST-015,Toko Sejahtera 15,Bogor Kab.,E-commerce,Retail
CUST-016,Toko Sejahtera 16,Cimahi,E-commerce,Retail
CUST-017,Toko Sejahtera 17,Cianjur,Traditional Trade,Retail
CUST-018,Toko Sejahtera 18,Bogor,Traditional Trade,Retail
CUST-019,Toko Sejahtera 19,Banjar,Traditional Trade,Retail
CUST-020,Toko Sejahtera 20,Pangandaran,Traditional Trade,Retail
CUST-021,Toko Sejahtera 21,Bandung Barat,Modern Trade,Wholesaler
CUST-022,Toko Sejahtera 22,Cianjur,Distributor,Wholesaler
CUST-023,Toko Sejahtera 23,Cirebon Kab.,Traditional Trade,Retail
CUST-024,Toko Sejahtera 24,Bekasi Kab.,Modern Trade,Retail
CUST-025,Toko Sejahtera 25,Bandung Barat,Traditional Trade,Wholesaler
CUST-026,Toko Sejahtera 26,Pangandaran,E-commerce,Retail
CUST-027,Toko Sejahtera 27,Bandung,Modern Trade,Online
