CampaignID,Month,Channel,City,ProductCategory,SpendAmount
MK-001,Mar,Sponsorship,Karawang,Beverage,632742156
MK-002,Dec,Sponsorship,Bekasi Kab.,Beverage,171236163
MK-003,Feb,Sponsorship,Sukabumi Kab.,Confectionery,182858128
MK-004,Oct,Digital Ads,Kuningan,Confectionery,141209841
MK-005,Aug,Sponsorship,Sukabumi,Dairy,443050067
MK-006,Nov,In-store Promo,Bekasi Kab.,Culinary,51072852
MK-007,Jul,Digital Ads,Bandung,Confectionery,411817352
MK-008,Oct,TV,Cianjur,Confectionery,18567275
MK-009,Apr,Sponsorship,Sumedang,Culinary,369169868
MK-010,Feb,In-store Promo,Tasikmalaya,Beverage,455646927
MK-011,Dec,Sponsorship,Garut Kab.,Beverage,309500097
MK-012,Sep,TV,Kuningan,Confectionery,154028346
MK-013,Aug,Digital Ads,Depok,Confectionery,275278952
MK-014,Apr,TV,Tasikmalaya Kab.,Culinary,538038168
MK-015,Nov,Digital Ads,Sukabumi Kab.,Culinary,490081500
MK-016,May,In-store Promo,Cirebon Kab.,Confectionery,311743107
MK-017,Oct,In-store Promo,Pangandaran,Culinary,294321335
MK-018,Jun,In-store Promo,Cianjur,Beverage,341508042
MK-019,Apr,TV,Tasikmalaya Kab.,Dairy,656977766
MK-020,Feb,Sponsorship,Purwakarta,Confectionery,195163128
MK-021,May,Sponsorship,Majalengka,Dairy,226627178
MK-022,Nov,TV,Bogor,Culinary,377692949
MK-023,Jan,Sponsorship,Tasikmalaya,Dairy,166033774
MK-024,Jul,TV,Purwakarta,Confectionery,134899320
MK-025,Sep,Sponsorship,Bandung,Culinary,80890863
MK-026,Mar,Digital Ads,Cirebon,Dairy,71450265
MK-027,Jun,In-store Promo,Cianjur,Beverage,420897290
MK-028,Sep,Sponsorship,Bekasi Kab.,Confectionery,207120940
MK-029,Nov,TV,Indramayu,Confectionery,184844480
MK-030,Apr,Digital Ads,Tasikmalaya Kab.,Confectionery,229539836
MK-031,Jun,Sponsorship,Pangandaran,Confectionery,89680185
MK-032,Mar,Sponsorship,Cirebon Kab.,Culinary,593217392
MK-033,Sep,TV,Banjar,Beverage,112039176
MK-034,Jul,Digital Ads,Garut Kab.,Beverage,284189277
MK-035,Jul,In-store Promo,Pangandaran,Dairy,276913583
MK-036,Apr,TV,Purwakarta,Confectionery,448760377
MK-037,Jun,Sponsorship,Tasikmalaya,Confectionery,134271341
MK-038,Nov,In-store Promo,Sumedang,Dairy,53530573
MK-039,Nov,Sponsorship,Sukabumi Kab.,Culinary,665937393
MK-040,Aug,TV,Banjar,Beverage,455562069
MK-041,Jun,Digital Ads,Cirebon Kab.,Confectionery,116825530
MK-042,Jun,In-store Promo,Ciamis,Dairy,87409484
MK-043,Apr,TV,Garut,Beverage,74114036
MK-044,Aug,TV,Bekasi,Dairy,248871944
MK-045,Oct,In-store Promo,Sumedang,Dairy,104767084
MK-046,Aug,Digital Ads,Garut,Culinary,244691017
MK-047,Sep,Sponsorship,Kuningan,Beverage,198769072
MK-048,Jun,In-store Promo,Cirebon Kab.,Confectionery,223192536
MK-049,Feb,TV,Bandung,Beverage,331996468
MK-050,Apr,In-store Promo,Bandung Barat,Culinary,670729686
MK-051,Apr,In-store Promo,Bogor,Confectionery,150611268
MK-052,Aug,Digital Ads,Tasikmalaya Kab.,Beverage,402815545
MK-053,May,Digital Ads,Cirebon Kab.,Culinary,74558638
