SaleID,Date,CustomerID,ProductID,Quantity,Channel,City
S00001,2024-06-10,CUST-099,PROD-022,125,Traditional Trade,Purwakarta
S00002,2024-05-13,CUST-131,PROD-035,132,Traditional Trade,Sukabumi
S00003,2024-03-30,CUST-190,PROD-029,44,E-commerce,Cirebon Kab.
S00004,2024-01-22,CUST-012,PROD-021,94,Traditional Trade,Cirebon
S00005,2024-11-20,CUST-091,PROD-007,173,Modern Trade,Subang
S00006,2024-11-05,CUST-030,PROD-012,12,E-commerce,Banjar
S00007,2024-12-31,CUST-038,PROD-036,489,Distributor,Purwakarta
S00008,2024-12-30,CUST-085,PROD-024,12,Modern Trade,Sukabumi Kab.
S00009,2024-07-15,CUST-060,PROD-032,54,Traditional Trade,Pangandaran
S00010,2024-10-16,CUST-038,PROD-027,462,Distributor,Purwakarta
S00011,2024-12-15,CUST-104,PROD-032,44,E-commerce,Karawang
S00012,2024-11-16,CUST-143,PROD-032,260,Distributor,Cimahi
S00013,2024-03-23,CUST-146,PROD-032,13,E-commerce,Bogor
S00014,2024-06-02,CUST-180,PROD-026,65,Distributor,Garut Kab.
S00015,2024-02-18,CUST-029,PROD-011,31,Traditional Trade,Tasikmalaya Kab.
S00016,2024-12-18,CUST-112,PROD-018,127,Traditional Trade,Cianjur
S00017,2024-08-04,CUST-188,PROD-039,194,Modern Trade,Bekasi Kab.
S00018,2024-03-18,CUST-021,PROD-005,147,Modern Trade,Bandung Barat
S00019,2024-08-28,CUST-145,PROD-016,129,Traditional Trade,Garut Kab.
S00020,2024-08-08,CUST-146,PROD-011,38,E-commerce,Bogor
S00021,2024-04-21,CUST-185,PROD-035,140,Traditional Trade,Karawang
S00022,2024-02-12,CUST-119,PROD-011,150,Traditional Trade,Majalengka
S00023,2024-08-28,CUST-165,PROD-023,149,Traditional Trade,Karawang
S00024,2024-07-01,CUST-060,PROD-034,62,Traditional Trade,Pangandaran
S00025,2024-10-18,CUST-166,PROD-017,75,Modern Trade,Garut
S00026,2024-07-01,CUST-140,PROD-010,44,E-commerce,Bekasi
S00027,2024-11-17,CUST-113,PROD-018,211,Modern Trade,Bandung
S00028,2024-07-13,CUST-129,PROD-008,13,Traditional Trade,Sukabumi
S00029,2024-07-17,CUST-058,PROD-026,48,E-commerce,Sukabumi
S00030,2024-11-24,CUST-003,PROD-003,39,E-commerce,Purwakarta
S00031,2024-05-06,CUST-191,PROD-024,154,Distributor,Ciamis
S00032,2024-02-20,CUST-149,PROD-003,25,E-commerce,Bekasi
S00033,2024-01-12,CUST-023,PROD-038,93,Traditional Trade,Cirebon Kab.
S00034,2024-10-09,CUST-137,PROD-002,24,E-commerce,Kuningan
S00035,2024-08-09,CUST-083,PROD-035,55,Distributor,Cirebon Kab.
S00036,2024-09-12,CUST-055,PROD-017,167,Modern Trade,Subang
S00037,2024-03-14,CUST-110,PROD-009,112,Modern Trade,Depok
S00038,2024-02-21,CUST-116,PROD-036,31,E-commerce,Cianjur
S00039,2024-01-06,CUST-147,PROD-022,18,E-commerce,Bandung
S00040,2024-04-19,CUST-062,PROD-031,43,E-commerce,Ciamis
S00041,2024-07-29,CUST-087,PROD-034,82,Distributor,Subang
S00042,2024-04-30,CUST-167,PROD-024,190,Modern Trade,Depok
S00043,2024-05-26,CUST-100,PROD-009,91,Traditional Trade,Pangandaran
S00044,2024-12-02,CUST-027,PROD-002,78,Modern Trade,Bandung
S00045,2024-04-18,CUST-174,PROD-021,429,Distributor,Karawang
S00046,2024-06-28,CUST-034,PROD-034,35,Modern Trade,Garut Kab.
S00047,2024-10-23,CUST-033,PROD-027,462,Distributor,Majalengka
S00048,2024-05-01,CUST-092,PROD-037,10,Traditional Trade,Kuningan
S00049,2024-08-10,CUST-096,PROD-007,305,Distributor,Indramayu
S00050,2024-11-20,CUST-178,PROD-022,43,Traditional Trade,Karawang
S00051,2024-12-16,CUST-148,PROD-004,4,E-commerce,Bogor
S00052,2024-02-25,CUST-168,PROD-014,48,E-commerce,Majalengka
S00053,2024-12-09,CUST-095,PROD-034,42,E-commerce,Pangandaran
S00054,2024-06-19,CUST-186,PROD-023,30,Traditional Trade,Tasikmalaya
S00055,2024-03-26,CUST-159,PROD-025,216,Modern Trade,Garut Kab.
S00056,2024-06-06,CUST-038,PROD-001,126,Distributor,Purwakarta
S00057,2024-12-25,CUST-173,PROD-015,177,Modern Trade,Depok
S00058,2024-06-19,CUST-041,PROD-032,22,E-commerce,Cirebon Kab.
S00059,2024-04-13,CUST-137,PROD-014,13,E-commerce,Kuningan
S00060,2024-08-14,CUST-137,PROD-021,39,E-commerce,Kuningan
S00061,2024-03-21,CUST-191,PROD-007,130,Distributor,Ciamis
S00062,2024-01-30,CUST-079,PROD-036,36,E-commerce,Bogor Kab.
S00063,2024-02-18,CUST-128,PROD-021,39,E-commerce,Tasikmalaya Kab.
S00064,2024-02-18,CUST-022,PROD-040,225,Distributor,Cianjur
S00065,2024-02-26,CUST-016,PROD-012,25,E-commerce,Cimahi
