Month,City,SalesTarget,ProfitTarget,SpendBudget
Jan-2024,Bandung,77107228,19235440,3743646
Jan-2024,Bandung Barat,60475313,11438622,3177823
Jan-2024,Bogor,84032361,16154062,4053196
Jan-2024,Bogor Kab.,46679998,8209838,2312802
Jan-2024,Bekasi,75493165,13343236,3698983
Jan-2024,Bekasi Kab.,48018794,8149022,2046741
Jan-2024,Depok,85405280,21862651,5023846
Jan-2024,Cimahi,40066361,6718296,1644177
Jan-2024,Sukabumi,50640425,12326486,2434308
Jan-2024,Sukabumi Kab.,56950177,14408674,3400882
Jan-2024,Cirebon,66040009,10483676,3004561
Jan-2024,Cirebon Kab.,38452442,11147044,1771851
Jan-2024,Karawang,81792346,16171201,3673799
Jan-2024,Subang,41618662,8242779,2177004
Jan-2024,Purwakarta,61076003,14274305,3093754
Jan-2024,Indramayu,38837496,10719725,1588330
Jan-2024,Majalengka,41666111,9616570,1807031
Jan-2024,Sumedang,48728050,14581755,2246443
Jan-2024,Garut,44399669,7445863,2306245
Jan-2024,Ciamis,28083398,7439326,1639634
Jan-2024,Pangandaran,42092357,6995220,2153666
Jan-2024,Banjar,40306359,9504337,2269232
Jan-2024,Kuningan,35540761,9980132,1991472
Jan-2024,Cianjur,44568023,10897565,1789327
Jan-2024,Tasikmalaya,75849592,14084816,4455581
Jan-2024,Tasikmalaya Kab.,47627989,11816964,2602375
Jan-2024,Garut Kab.,56363797,14675232,2580520
Feb-2024,Bandung,91442707,21246843,4750215
Feb-2024,Bandung Barat,40020365,7553389,2345740
Feb-2024,Bogor,75603043,16307752,3306384
Feb-2024,Bogor Kab.,43465063,7880230,2219888
Feb-2024,Bekasi,100761146,20044402,4682184
Feb-2024,Bekasi Kab.,54103514,11010682,3149274
Feb-2024,Depok,79113921,17687209,4008527
Feb-2024,Cimahi,59551694,13969987,2666909
Feb-2024,Sukabumi,43099680,12527619,2414929
Feb-2024,Sukabumi Kab.,40574130,11086043,2102225
Feb-2024,Cirebon,84755769,12868839,4713885
Feb-2024,Cirebon Kab.,44951625,11651334,1812331
Feb-2024,Karawang,95854145,14709386,4286392
Feb-2024,Subang,46706955,8109555,2317653
Feb-2024,Purwakarta,47092198,14080246,2429928
Feb-2024,Indramayu,54161945,9918701,2609186
Feb-2024,Majalengka,30169614,7976224,1406603
Feb-2024,Sumedang,58799145,12098182,3514727
Feb-2024,Garut,44278040,6651827,2297875
Feb-2024,Ciamis,44676681,11037736,1863664
Feb-2024,Pangandaran,37458406,10728950,1503210
Feb-2024,Banjar,44172805,12023141,2556639
Feb-2024,Kuningan,40375310,12061478,1687862
Feb-2024,Cianjur,53641912,13557950,2899500
Feb-2024,Tasikmalaya,95739384,27538850,4522041
Feb-2024,Tasikmalaya Kab.,41074084,8394158,2194682
Feb-2024,Garut Kab.,45336402,12308649,2012722
Mar-2024,Bandung,90163550,20396087,4916549
Mar-2024,Bandung Barat,68237936,17901155,3327833
Mar-2024,Bogor,99216018,16230129,5378673
Mar-2024,Bogor Kab.,69500017,19940671,3530955
Mar-2024,Bekasi,109112215,22078708,4651318
Mar-2024,Bekasi Kab.,76782620,18222440,4299817
Mar-2024,Depok,100867029,19529717,4230843
Mar-2024,Cimahi,66336977,14210396,3932493
Mar-2024,Sukabumi,78857310,21088896,3667669
Mar-2024,Sukabumi Kab.,61057948,11509911,2755505
Mar-2024,Cirebon,122254458,24600123,6986594
Mar-2024,Cirebon Kab.,90599058,18255235,4901518
Mar-2024,Karawang,126419248,22650457,7377849
Mar-2024,Subang,62980490,16409161,2957072
Mar-2024,Purwakarta,68847854,15030681,3944304
Mar-2024,Indramayu,60908817,9634887,2926109
Mar-2024,Majalengka,40561834,10267828,2239276
Mar-2024,Sumedang,85914933,22473313,5011162
Mar-2024,Garut,82190539,23869065,3605059
Mar-2024,Ciamis,51446646,15387156,2759164
Mar-2024,Pangandaran,60726707,9385863,3487848
Mar-2024,Banjar,80419963,14122816,3258103
Mar-2024,Kuningan,45568201,13094751,2431640
Mar-2024,Cianjur,88181418,19128543,5179118
Mar-2024,Tasikmalaya,115525749,20868364,4970826
Mar-2024,Tasikmalaya Kab.,90783413,18163890,3921939
Mar-2024,Garut Kab.,56294295,10855534,3252815
Apr-2024,Bandung,119504521,29262505,6984778
Apr-2024,Bandung Barat,73949397,20390952,3436921
Apr-2024,Bogor,144317704,23353791,7864822
Apr-2024,Bogor Kab.,79119820,14142725,3780098
Apr-2024,Bekasi,107118430,17586053,5537568
Apr-2024,Bekasi Kab.,90778444,21236547,4621094
Apr-2024,Depok,91857567,15696899,4617163
Apr-2024,Cimahi,90481249,25469671,4234900
Apr-2024,Sukabumi,75005148,17469098,4028317
Apr-2024,Sukabumi Kab.,80072371,21496939,3242884
Apr-2024,Cirebon,142446090,22863923,7054386
Apr-2024,Cirebon Kab.,88185274,19678572,3639647
Apr-2024,Karawang,102437441,24257187,4277504
Apr-2024,Subang,70828727,14120697,3987951
Apr-2024,Purwakarta,59854617,15108488,2880909
Apr-2024,Indramayu,76571273,13846365,3996566
Apr-2024,Majalengka,55712454,8943784,3147023
Apr-2024,Sumedang,86143893,13742803,4484974
Apr-2024,Garut,76790402,11662063,3597394
Apr-2024,Ciamis,62938681,14684702,3692249
Apr-2024,Pangandaran,55753293,8600423,2316787
Apr-2024,Banjar,81276263,18952419,3457738
Apr-2024,Kuningan,54244535,14729729,2986685
Apr-2024,Cianjur,64615686,12194869,3835377
Apr-2024,Tasikmalaya,139294668,27545603,7867514
Apr-2024,Tasikmalaya Kab.,61660848,11069735,2689887
Apr-2024,Garut Kab.,59070227,16433438,3046614
May-2024,Bandung,44614946,12371646,2500798
May-2024,Bandung Barat,25514272,6292352,1388912
May-2024,Bogor,55579856,14365803,2411563
May-2024,Bogor Kab.,28726296,7946462,1665201
May-2024,Bekasi,45100533,6920808,2579540
May-2024,Bekasi Kab.,29656377,5914060,1392070
May-2024,Depok,48376714,10001401,2483109
May-2024,Cimahi,25184104,7447720,1479037
May-2024,Sukabumi,38016099,10716420,2022704
May-2024,Sukabumi Kab.,27316628,4300252,1146927
May-2024,Cirebon,46175820,10416454,2764318
May-2024,Cirebon Kab.,30531652,6982494,1645752
May-2024,Karawang,42737615,12390662,2161698
May-2024,Subang,28143845,8169211,1477805
May-2024,Purwakarta,31255345,7408247,1717982
May-2024,Indramayu,26318070,7361810,1557770
May-2024,Majalengka,22753496,5741631,1301424
May-2024,Sumedang,29622159,8854797,1588044
May-2024,Garut,30359980,7638592,1531163
May-2024,Ciamis,17972236,4841357,921751
May-2024,Pangandaran,25156378,4358010,1277117
May-2024,Banjar,35499364,10587532,2047885
May-2024,Kuningan,25875671,4841830,1468695
May-2024,Cianjur,26539219,4769526,1120017
May-2024,Tasikmalaya,58982316,9805112,2522215
May-2024,Tasikmalaya Kab.,27688307,6531653,1594946
May-2024,Garut Kab.,30273422,7021705,1311740
Jun-2024,Bandung,67174050,11425557,3237680
Jun-2024,Bandung Barat,49282552,9491963,2805158
Jun-2024,Bogor,92924580,15613487,3750175
Jun-2024,Bogor Kab.,53769980,9603124,2530572
Jun-2024,Bekasi,71792323,20639568,3817683
Jun-2024,Bekasi Kab.,36913713,5619062,1623884
Jun-2024,Depok,69054189,15376888,3919293
Jun-2024,Cimahi,43083399,8895885,2007115
Jun-2024,Sukabumi,36201720,10617248,1548706
Jun-2024,Sukabumi Kab.,42472518,7194653,2115592
Jun-2024,Cirebon,91157980,15050648,4450144
Jun-2024,Cirebon Kab.,36503434,9696579,1928276
Jun-2024,Karawang,82789151,18284021,4814409
Jun-2024,Subang,45215042,10268913,2437352
Jun-2024,Purwakarta,47712614,8511946,2211069
Jun-2024,Indramayu,38076625,8182363,1987136
Jun-2024,Majalengka,27066846,6620227,1566018
Jun-2024,Sumedang,43598783,7991873,2522630
Jun-2024,Garut,51568767,8550577,2483667
Jun-2024,Ciamis,35816911,8458435,1875765
Jun-2024,Pangandaran,34132378,9205816,1584033
Jun-2024,Banjar,51940402,15512619,2482708
Jun-2024,Kuningan,37659010,7039086,1718679
Jun-2024,Cianjur,57034437,8777072,2529394
Jun-2024,Tasikmalaya,74985145,15767662,3942973
Jun-2024,Tasikmalaya Kab.,40336246,6477277,1911400
